repo_id,address,total_file_cnt,total_java_files,listener_pattern_cnt,visitor_pattern_cnt,enter_method_cnt,exit_method_cnt,enter_exit_method_cnt,visit_method_cnt
260,jsurfer/JsonSurfer,148,94,0,1,0,0,0,20
261,julianthome/inmemantlr,130,72,0,0,1,1,1,1
262,junrushao1994/Final-Fanatic-Facility,185,142,1,0,8,38,6,0
263,jyukutyo/JVM-Math-Language,52,20,1,0,0,5,0,0
264,k3po/k3po,2652,767,0,1,0,1,0,113
265,kaiwaehner/ksql-fork-with-deep-learning-function,781,522,0,2,0,0,0,333
266,kasonyang/kalang,384,251,0,1,0,0,0,168
267,kayler-renslow/arma-dialog-creator,931,540,0,0,0,0,0,0
268,kiegroup/drools,8370,6237,0,1,2,2,2,78
269,kmizu/nub,45,7,0,0,0,0,0,11
270,kodokojo/kodokojo,258,189,1,0,0,4,0,0
271,konsoletyper/teavm-flavour,585,468,0,1,0,0,0,40
272,korpling/ANNIS,1455,415,1,0,18,1,1,0
273,kotlinx/ast,286,10,0,0,0,0,0,0
274,latexdraw/latexdraw,1173,765,2,0,6,127,6,1
275,lchaboud-restlet/antlr-sqlparser,76,32,2,0,10,28,10,0
276,le-moulin-studio/java-semantic-diff,65,36,0,0,0,0,0,1
277,lealone/Bats,4037,3916,0,7,0,1,0,1100
278,lensesio/kafka-connect-query-language,61,16,0,0,3,57,3,0
279,liferay/liferay-portal,75978,32075,2,2,9,9,3,280
280,linkedin/Cubert,340,294,1,0,11,51,10,20
281,linkedin/parseq,608,460,0,0,0,0,0,11
282,linkedin/rest.li,3509,2627,0,0,0,0,0,35
283,linqs/psl,397,281,0,1,0,0,0,37
284,lmcgrath/scotch-lang,372,310,0,2,4,0,0,6
285,locationtech/geowave,3044,2125,0,0,0,0,0,6
286,lockss/lockss-daemon,6279,3445,2,0,8,10,3,20
287,logic-ng/LogicNG,598,349,0,0,0,0,0,0
288,marcelganczak/swift-js-transpiler,204,24,0,1,0,0,0,39
289,maskarade/Android-Orma,375,257,2,0,3,10,2,3
